,count,mean,std,min,25%,50%,75%,max,dtypes,n_na
Envinmt_6,250962.0,0.006407344538216941,0.07978919627264194,0.0,0.0,0.0,0.0,1.0,,
Envinmt_7,250962.0,0.0008168567352826324,0.02856908701048923,0.0,0.0,0.0,0.0,1.0,,
Envinmt_8,250962.0,0.0012113387684191232,0.034783275403003786,0.0,0.0,0.0,0.0,1.0,,
Envinmt_9,250962.0,0.0053872697858639955,0.07320019440571064,0.0,0.0,0.0,0.0,1.0,,
Pos_Acc_-1,250962.0,9.961667503446737e-05,0.009980338093162976,0.0,0.0,0.0,0.0,1.0,,
Pos_Acc_0,250962.0,0.04423777304930627,0.20562334731370915,0.0,0.0,0.0,0.0,1.0,,
Pos_Acc_1,250962.0,0.8603852376056933,0.3465875923426565,0.0,1.0,1.0,1.0,1.0,,
Pos_Acc_2,250962.0,0.006949259250404444,0.08307222486752326,0.0,0.0,0.0,0.0,1.0,,
Pos_Acc_3,250962.0,0.0625991185916593,0.2422410014144315,0.0,0.0,0.0,0.0,1.0,,
Pos_Acc_4,250962.0,0.013751085821757875,0.1164562042173953,0.0,0.0,0.0,0.0,1.0,,
Pos_Acc_5,250962.0,0.007005044588423746,0.08340264777624391,0.0,0.0,0.0,0.0,1.0,,
Pos_Acc_6,250962.0,0.001593866800551478,0.039891512005746234,0.0,0.0,0.0,0.0,1.0,,
Pos_Acc_8,250962.0,0.003378997617169133,0.05803096941298361,0.0,0.0,0.0,0.0,1.0,,
place_0,250962.0,0.02417895936436592,0.15360478932759258,0.0,0.0,0.0,0.0,1.0,,
place_1,250962.0,0.7945864314119269,0.40400431285232735,0.0,1.0,1.0,1.0,1.0,,
place_2,250962.0,0.1060080809046788,0.3078485753052097,0.0,0.0,0.0,0.0,1.0,,
place_3,250962.0,0.022907850590926118,0.1496100603626289,0.0,0.0,0.0,0.0,1.0,,
place_4,250962.0,0.019827702998860386,0.1394081871097553,0.0,0.0,0.0,0.0,1.0,,
place_5,250962.0,0.010543428885648026,0.10213866340543633,0.0,0.0,0.0,0.0,1.0,,
place_6,250962.0,0.0010360134203584606,0.0321705489611132,0.0,0.0,0.0,0.0,1.0,,
place_7,250962.0,0.003275396275133287,0.05713738761127457,0.0,0.0,0.0,0.0,1.0,,
place_8,250962.0,0.00296060758202437,0.054330968580777614,0.0,0.0,0.0,0.0,1.0,,
place_9,250962.0,0.003040300922051944,0.05505515026006387,0.0,0.0,0.0,0.0,1.0,,
place_10,250962.0,0.011635227644025789,0.1072375631248183,0.0,0.0,0.0,0.0,1.0,,
User_category_1,250962.0,0.745049051250787,0.4358345091608021,0.0,0.0,1.0,1.0,1.0,,
User_category_2,250962.0,0.17112550904120943,0.37661934946344533,0.0,0.0,0.0,0.0,1.0,,
User_category_3,250962.0,0.08242682159051969,0.2750144397028867,0.0,0.0,0.0,0.0,1.0,,
User_category_4,250962.0,0.0013986181174839218,0.03737201560125525,0.0,0.0,0.0,0.0,1.0,,
Sex_1,250962.0,0.6737553892621194,0.4688389281744703,0.0,0.0,1.0,1.0,1.0,,
Sex_2,250962.0,0.32624461073788064,0.4688389281744703,0.0,0.0,0.0,1.0,1.0,,
Trajectory_0,250962.0,0.2802416302069636,0.4491180943152742,0.0,0.0,0.0,1.0,1.0,,
Trajectory_1,250962.0,0.13169722906256723,0.3381619797974409,0.0,0.0,0.0,0.0,1.0,,
Trajectory_2,250962.0,0.020867701086220224,0.14294167185811782,0.0,0.0,0.0,0.0,1.0,,
Trajectory_3,250962.0,0.026605621568205545,0.16092813819697815,0.0,0.0,0.0,0.0,1.0,,
Trajectory_4,250962.0,0.09820610291597931,0.29759371155349157,0.0,0.0,0.0,0.0,1.0,,
Trajectory_5,250962.0,0.3707852184792917,0.483016014100131,0.0,0.0,0.0,1.0,1.0,,
Trajectory_9,250962.0,0.07159649668077239,0.2578191288625229,0.0,0.0,0.0,0.0,1.0,,
LOCP_0,250962.0,0.9240124002837082,0.26497879949935155,0.0,1.0,1.0,1.0,1.0,,
LOCP_1,250962.0,0.012041663678166416,0.10907203774778297,0.0,0.0,0.0,0.0,1.0,,
LOCP_2,250962.0,0.0194690829687363,0.13816697812733497,0.0,0.0,0.0,0.0,1.0,,
LOCP_3,250962.0,0.016568245391732614,0.12764718391626714,0.0,0.0,0.0,0.0,1.0,,
LOCP_4,250962.0,0.019321650289685292,0.1376531860249922,0.0,0.0,0.0,0.0,1.0,,
LOCP_5,250962.0,0.005259760441819877,0.07233336858017436,0.0,0.0,0.0,0.0,1.0,,
LOCP_6,250962.0,0.001749268813605247,0.04178774737062997,0.0,0.0,0.0,0.0,1.0,,
LOCP_7,250962.0,0.00011157067603860345,0.010562133901206371,0.0,0.0,0.0,0.0,1.0,,
LOCP_8,250962.0,0.0009085040763143424,0.030127766486572238,0.0,0.0,0.0,0.0,1.0,,
LOCP_9,250962.0,0.0005578533801930172,0.023612378140034997,0.0,0.0,0.0,0.0,1.0,,
ACTP_0,250962.0,0.9205497246595102,0.27044078930565196,0.0,1.0,1.0,1.0,1.0,,
ACTP_1,250962.0,0.004681983726619966,0.06826478831634876,0.0,0.0,0.0,0.0,1.0,,
ACTP_2,250962.0,0.0020720268407169212,0.045472428841559887,0.0,0.0,0.0,0.0,1.0,,
ACTP_3,250962.0,0.06048326041392721,0.23838049847538886,0.0,0.0,0.0,0.0,1.0,,
ACTP_4,250962.0,0.0015500354635363124,0.03934004347257672,0.0,0.0,0.0,0.0,1.0,,
ACTP_5,250962.0,0.004562443716578606,0.06739173481116426,0.0,0.0,0.0,0.0,1.0,,
ACTP_6,250962.0,0.0002111873510730708,0.014530780856950615,0.0,0.0,0.0,0.0,1.0,,
ACTP_7,250962.0,1.1954001004136084e-05,0.0034574420802567043,0.0,0.0,0.0,0.0,1.0,,
ACTP_8,250962.0,0.00012750934404411824,0.011291306099420662,0.0,0.0,0.0,0.0,1.0,,
ACTP_9,250962.0,0.005749874482989457,0.07560976263755828,0.0,0.0,0.0,0.0,1.0,,
StateP_0,250962.0,0.9206891880045585,0.2702237925498571,0.0,1.0,1.0,1.0,1.0,,
StateP_1,250962.0,0.06010870171579761,0.2376886005071993,0.0,0.0,0.0,0.0,1.0,,
StateP_2,250962.0,0.015910775336505128,0.1251306715212419,0.0,0.0,0.0,0.0,1.0,,
StateP_3,250962.0,0.003291334943138802,0.05727578134946094,0.0,0.0,0.0,0.0,1.0,,
direction_-1.0,250962.0,0.0005020680421737155,0.02240129392316987,0.0,0.0,0.0,0.0,1.0,,
direction_0.0,250962.0,0.009838142826403997,0.09869849334380368,0.0,0.0,0.0,0.0,1.0,,
direction_1.0,250962.0,0.06642041424598147,0.24901604346417025,0.0,0.0,0.0,0.0,1.0,,
direction_2.0,250962.0,0.05032634422741292,0.2186179172585579,0.0,0.0,0.0,0.0,1.0,,
direction_3.0,250962.0,0.02136976912839394,0.14461391851365119,0.0,0.0,0.0,0.0,1.0,,
cat_veh_-1.0,250962.0,3.984667001378695e-06,0.0019961630698364027,0.0,0.0,0.0,0.0,1.0,,
cat_veh_0.0,250962.0,0.0002629880220909939,0.016214805180436432,0.0,0.0,0.0,0.0,1.0,,
cat_veh_1.0,250962.0,0.0068217499063603255,0.08231184988598648,0.0,0.0,0.0,0.0,1.0,,
cat_veh_2.0,250962.0,0.0050485730907468065,0.07087386694611064,0.0,0.0,0.0,0.0,1.0,,
cat_veh_3.0,250962.0,0.0009603047473322654,0.030973963016698178,0.0,0.0,0.0,0.0,1.0,,
cat_veh_7.0,250962.0,0.09397837122751651,0.2917992053630188,0.0,0.0,0.0,0.0,1.0,,
cat_veh_10.0,250962.0,0.010152931519512914,0.10024913738549691,0.0,0.0,0.0,0.0,1.0,,
cat_veh_13.0,250962.0,0.00048214470716682206,0.02195254344980644,0.0,0.0,0.0,0.0,1.0,,
cat_veh_14.0,250962.0,0.0010639060893681115,0.032600282637106834,0.0,0.0,0.0,0.0,1.0,,
cat_veh_15.0,250962.0,0.0012551701054342888,0.035406209181693904,0.0,0.0,0.0,0.0,1.0,,
cat_veh_16.0,250962.0,6.77393390234378e-05,0.008230128814720138,0.0,0.0,0.0,0.0,1.0,,
cat_veh_17.0,250962.0,0.0008925654083088276,0.02986255663395768,0.0,0.0,0.0,0.0,1.0,,
cat_veh_20.0,250962.0,0.0002311106860799643,0.015200598495477327,0.0,0.0,0.0,0.0,1.0,,
cat_veh_21.0,250962.0,0.00032275802711167426,0.01796260393264013,0.0,0.0,0.0,0.0,1.0,,
cat_veh_30.0,250962.0,0.004263593691475203,0.06515698256475293,0.0,0.0,0.0,0.0,1.0,,
cat_veh_31.0,250962.0,0.0023429841968106726,0.0483477397200631,0.0,0.0,0.0,0.0,1.0,,
cat_veh_32.0,250962.0,0.0031239789290808968,0.05580530524877911,0.0,0.0,0.0,0.0,1.0,,
cat_veh_33.0,250962.0,0.009933774834437087,0.09917224481532247,0.0,0.0,0.0,0.0,1.0,,
cat_veh_34.0,250962.0,0.0015699587985432057,0.03959166924847573,0.0,0.0,0.0,0.0,1.0,,
cat_veh_35.0,250962.0,5.9770005020680424e-05,0.007730890680734067,0.0,0.0,0.0,0.0,1.0,,
cat_veh_36.0,250962.0,0.0002390800200827217,0.015460394990329971,0.0,0.0,0.0,0.0,1.0,,
cat_veh_37.0,250962.0,0.001330878778460484,0.03645699982458222,0.0,0.0,0.0,0.0,1.0,,
cat_veh_38.0,250962.0,0.00037057403112821863,0.0192467706924687,0.0,0.0,0.0,0.0,1.0,,
cat_veh_39.0,250962.0,2.390800200827217e-05,0.004889532255670352,0.0,0.0,0.0,0.0,1.0,,
cat_veh_40.0,250962.0,0.0001554020130537691,0.012465090549194553,0.0,0.0,0.0,0.0,1.0,,
cat_veh_41.0,250962.0,2.7892669009650863e-05,0.005281287925213598,0.0,0.0,0.0,0.0,1.0,,
cat_veh_42.0,250962.0,3.187733601102956e-05,0.005645923030249735,0.0,0.0,0.0,0.0,1.0,,
cat_veh_43.0,250962.0,0.0006176233852136977,0.024844403516306693,0.0,0.0,0.0,0.0,1.0,,
cat_veh_50.0,250962.0,0.0014663574565073596,0.03826503739340488,0.0,0.0,0.0,0.0,1.0,,
cat_veh_60.0,250962.0,0.0002271260190785856,0.01506901913429165,0.0,0.0,0.0,0.0,1.0,,
cat_veh_80.0,250962.0,0.000470190706162686,0.021678826064675416,0.0,0.0,0.0,0.0,1.0,,
cat_veh_99.0,250962.0,0.0006574700552274846,0.02563279942653923,0.0,0.0,0.0,0.0,1.0,,
obstacle_-1.0,250962.0,3.187733601102956e-05,0.005645923030249735,0.0,0.0,0.0,0.0,1.0,,
obstacle_0.0,250962.0,0.12468819980714212,0.33036568757738777,0.0,0.0,0.0,0.0,1.0,,
obstacle_1.0,250962.0,0.003522445629218766,0.059245691762324026,0.0,0.0,0.0,0.0,1.0,,
obstacle_2.0,250962.0,0.002522294211872714,0.050159169340945074,0.0,0.0,0.0,0.0,1.0,,
obstacle_3.0,250962.0,0.0021118735107307084,0.04590666507578042,0.0,0.0,0.0,0.0,1.0,,
obstacle_4.0,250962.0,0.002378846199823081,0.048715467225301595,0.0,0.0,0.0,0.0,1.0,,
obstacle_5.0,250962.0,0.0002271260190785856,0.015069019134291648,0.0,0.0,0.0,0.0,1.0,,
obstacle_6.0,250962.0,0.002060072839712785,0.04534134020333144,0.0,0.0,0.0,0.0,1.0,,
obstacle_7.0,250962.0,0.000510037376176473,0.022578291993682973,0.0,0.0,0.0,0.0,1.0,,
obstacle_8.0,250962.0,0.0020760115077183,0.04551604045841808,0.0,0.0,0.0,0.0,1.0,,
obstacle_9.0,250962.0,0.0007212247272495438,0.02684599474635792,0.0,0.0,0.0,0.0,1.0,,
obstacle_10.0,250962.0,0.00020321801707031344,0.014254035537441563,0.0,0.0,0.0,0.0,1.0,,
obstacle_11.0,250962.0,0.0002948653581020234,0.017169146371357788,0.0,0.0,0.0,0.0,1.0,,
obstacle_12.0,250962.0,0.001147584096397064,0.0338566347212749,0.0,0.0,0.0,0.0,1.0,,
obstacle_13.0,250962.0,0.0031000709270726247,0.05559202102662517,0.0,0.0,0.0,0.0,1.0,,
obstacle_14.0,250962.0,0.0011396147623943067,0.033739006749103885,0.0,0.0,0.0,0.0,1.0,,
obstacle_15.0,250962.0,0.0008925654083088276,0.029862556633957676,0.0,0.0,0.0,0.0,1.0,,
obstacle_16.0,250962.0,0.0006335620532192125,0.025162733859585777,0.0,0.0,0.0,0.0,1.0,,
obstacle_17.0,250962.0,0.00019524868306755605,0.013971805140048895,0.0,0.0,0.0,0.0,1.0,,
obstacle_movable_-1.0,250962.0,4.781600401654434e-05,0.006914760167121219,0.0,0.0,0.0,0.0,1.0,,
obstacle_movable_0.0,250962.0,0.028099871693722557,0.16525851786603865,0.0,0.0,0.0,0.0,1.0,,
obstacle_movable_1.0,250962.0,0.022306165873717934,0.14767764806527253,0.0,0.0,0.0,0.0,1.0,,
obstacle_movable_2.0,250962.0,0.09550449868904455,0.2939110981736003,0.0,0.0,0.0,0.0,1.0,,
obstacle_movable_4.0,250962.0,0.00012352467704273954,0.01111350128639787,0.0,0.0,0.0,0.0,1.0,,
obstacle_movable_5.0,250962.0,0.00011954001004136085,0.010932803688873734,0.0,0.0,0.0,0.0,1.0,,
obstacle_movable_6.0,250962.0,0.00041042070114200556,0.020254725145388182,0.0,0.0,0.0,0.0,1.0,,
obstacle_movable_9.0,250962.0,0.0018449008216383357,0.042912754518661105,0.0,0.0,0.0,0.0,1.0,,
initial_point_-1.0,250962.0,6.375467202205912e-05,0.007984413653475636,0.0,0.0,0.0,0.0,1.0,,
initial_point_0.0,250962.0,0.008431555374917318,0.091435756477845,0.0,0.0,0.0,0.0,1.0,,
initial_point_1.0,250962.0,0.05411974721272543,0.22625429090618623,0.0,0.0,0.0,0.0,1.0,,
initial_point_2.0,250962.0,0.019034754265586026,0.13664738123856035,0.0,0.0,0.0,0.0,1.0,,
initial_point_3.0,250962.0,0.022023254516620044,0.14675938334612765,0.0,0.0,0.0,0.0,1.0,,
initial_point_4.0,250962.0,0.015042117930204572,0.12172062953687293,0.0,0.0,0.0,0.0,1.0,,
initial_point_5.0,250962.0,0.004080299009411784,0.06374689295771858,0.0,0.0,0.0,0.0,1.0,,
initial_point_6.0,250962.0,0.005132251097775759,0.07145580061745628,0.0,0.0,0.0,0.0,1.0,,
initial_point_7.0,250962.0,0.008499294713940756,0.09179918454133947,0.0,0.0,0.0,0.0,1.0,,
initial_point_8.0,250962.0,0.009718602816362637,0.09810295573963321,0.0,0.0,0.0,0.0,1.0,,
initial_point_9.0,250962.0,0.0023111068607996428,0.04801848429118208,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_-1.0,250962.0,3.586200301240825e-05,0.005988393759826834,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_0.0,250962.0,0.008021134673775313,0.08920105255897798,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_1.0,250962.0,0.06285015261274615,0.24269372803425673,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_2.0,250962.0,0.016440736047688493,0.12716329140112392,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_3.0,250962.0,0.0013508021134673775,0.036728501499039785,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_4.0,250962.0,0.0010479674213625966,0.03235542237536206,0.0,0.0,0.0,0.0,1.0,,
